hotelname,location,description,rating,location_splitted,city
Hôtel Baptistin,Le Lavandou,"L'Hôtel Baptistin est situé en face des Îles d'Or, dans le village de pêcheurs provençal du Lavandou. Les chambres modernes disposent d'une tél..",8.9,Le Lavandou,Bormes les Mimosas
Le Rabelais,Le Lavandou,"Donnant sur le port et les îles d'Or, Le Rabelais est situé au cœur du Lavandou, en face du port et à seulement 250 mètres de la plage. Cet hôt..",8.5,Le Lavandou,Bormes les Mimosas
Hôtel Beau Rivage,Le Lavandou,"L'Hôtel Beau Rivage est situé dans le centre du Lavandou, à seulement 15 mètres de la plage et de la mer Méditerranée. ",8.5,Le Lavandou,Bormes les Mimosas
Hotel Espadon,Le Lavandou,"L'Hotel Espadon est situé dans le centre du Lavandou, en face de la plage et du port. Il propose des chambres climatisées dotées d'un minibar e..",8.0,Le Lavandou,Bormes les Mimosas
Le Jardin d'Emile,Cassis,"Située à 5 minutes à pied du port de Cassis, la maison typique de style provençal Le Jardin d'Emile propose des hébergements indépendants dotés..",8.6,Cassis,Cassis
Hôtel Les Roches Blanches Cassis,Cassis,"Doté d'une connexion Wi-Fi gratuite, l'Hôtel Les Roches Blanches Cassis est situé à 1 km du centre de Cassis et à 6 km du cap Canaille. ",8.8,Cassis,Cassis
"Hôtel et Appartement ""Le Maguy""",Cassis,"L'Hôtel et Appartement ""Le Maguy"" est situé à Cassis, au cœur de la Provence, à seulement 450 mètres du port et de la mer Méditerranée. ",8.6,Cassis,Cassis
Best Western Hotel & SPA Coeur De Cassis,Cassis,"Le Best Western Hotel & SPA Coeur De Cassis vous accueille dans le centre-ville de Cassis, à 200 mètres du port et 300 mètres de la plage. ",8.1,Cassis,Cassis
Best Western Plus Hôtel la Rade,Cassis,Le Best Western Plus Hôtel la Rade est situé à 300 mètres du port de pêche de Cassis et de la plage du Bestouan. ,8.0,Cassis,Cassis
Royal Cottage,Cassis,"Installé à 5 minutes en voiture de la plage et du port de Cassis, le Royal Cottage est entouré d’un jardin tropical agrémenté d’une piscine ext..",8.2,Cassis,Cassis
Villa Saint-Ange,Aix-en-Provence,"Situé à 1,7 km du cours Mirabeau à Aix-en-Provence, l'hôtel Villa Saint-Ange dispose d'une piscine extérieure chauffée, d'un jardin provençal, ..",9.3,Aix-en-Provence,Aix en Provence
N.8 LIFESTYLE SUITES,"Centre historique d'Aix-en-Provence, Aix-en-Provence",Hébergement géré par un particulier,9.1,Aix-en-Provence,Aix en Provence
Villa Gallici Hôtel & Spa,Aix-en-Provence,"Situé cœur de la Provence, le Villa Gallici Hôtel & Spa propose une piscine extérieure bordée de chaises longues, une salle de sport et un jard..",9.1,Aix-en-Provence,Aix en Provence
Maison Dauphine,"Centre historique d'Aix-en-Provence, Aix-en-Provence","Occupant une maison de ville du XVIIIe siècle, la Maison Dauphine propose des suites climatisées dotées d'une entrée privée, d'une connexion Wi..",9.5,Aix-en-Provence,Aix en Provence
Le Pigonnet - Esprit de France,Aix-en-Provence,"Le Pigonnet - Esprit de France est une élégante maison de style provençal, qui allie le raffinement du XVIIIe siècle à un style contemporain. ",8.5,Aix-en-Provence,Aix en Provence
Hotel Particulier le 28 by Les Collectionneurs,"Centre historique d'Aix-en-Provence, Aix-en-Provence","Proposant un jardin privé avec 2 terrasses et un restaurant, Hotel Particulier le 28 by Les Collectionneurs est situé à Aix-en-Provence. ",8.7,Aix-en-Provence,Aix en Provence
