hotelname,location,description,rating,location_splitted,city
Mas Des Salicornes,Les Saintes-Maries-de-la-Mer,"Le Mas Des Salicornes est un hôtel de campagne qui vous accueille à seulement 10 minutes à pied de la plage, au cœur de la Provence. ",8.8,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Mangio Fango Hotel et Spa,Les Saintes-Maries-de-la-Mer,"Le Mangio Fango Hotel et Spa est un établissement 4 étoiles situé aux Saintes-Maries-de-la-Mer. Il possède un jardin, une terrasse et un bar. ",8.7,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Le Mas de Cocagne,Les Saintes-Maries-de-la-Mer,Le Mas de Cocagne dispose d'une piscine extérieure chauffée ouverte en saison et d'un jardin. ,8.6,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Hôtel La Palunette,Les Saintes-Maries-de-la-Mer,"L'Hôtel La Palunette est situé à 1,1 km de la plage des Saintes-Maries-de-la-Mer. Il est doté d’une piscine extérieure. ",8.5,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Hôtel Les Arcades,Les Saintes-Maries-de-la-Mer,L'Hôtel 2 étoiles Les Arcades propose une connexion Wi-Fi gratuite dans tout l'établissement à seulement 100 mètres de la plage la plus proche ..,8.5,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Le Dauphin Bleu,Les Saintes-Maries-de-la-Mer,"Situé à 50 mètres de la plage, face à la mer Méditerranée, l’établissement Le Dauphin Bleu vous accueille à 400 mètres du centre de la vieille ..",8.5,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Vila De La Mar & Spa,Les Saintes-Maries-de-la-Mer,"Le Vila De La Mar & Spa est un petit hôtel décoré dans un style moderne situé dans le centre des Saintes-Maries-de-la-Mer, à 100 mètres de la p..",8.0,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Les Rizières,Les Saintes-Maries-de-la-Mer,"Installé près d'un étang, l'hôtel Les Rizières est situé à 2,8 km de Saintes-Maries-de-la-Mer et à 2,4 km du parc ornithologique de Pont-de-Gau..",8.1,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
L'auberge Camarguaise,Les Saintes-Maries-de-la-Mer,"Doté d'une piscine extérieure ouverte en saison et d'une terrasse bien exposée, l'établissement L'auberge Camarguaise est situé aux Saintes-Mar..",8.5,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Margaret - Hôtel Chouleur,"Nimes City Centre, Nîmes","Situé à Nîmes, le Margaret - Hôtel Chouleur propose un restaurant, une piscine extérieure ouverte en saison, une salle de sport et un bar. ",9.2,Nîmes,Nimes
Jardins Secrets,Nîmes,"Situé à Nîmes, l'hôtel Jardins Secrets occupe une auberge datant du XVIIIe siècle, dissimulée dans un jardin fleuri isolé de style méditerranée..",8.9,Nîmes,Nimes
